__metadata,Equnr,Eqktu,Swerk,PName,SyStat,UserStat,UserStatTxt,CurrStat,Werks,Eqtyp
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1656514ULSPRTSY02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1656514ULSPRTSY02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1656514ULSPRTSY02,165 / 65 R 14 ULTIMA SPORT _ SY02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1658014UXROYLHM15')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1658014UXROYLHM15')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1658014UXROYLHM15,1658014UXROYALE_HM15,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1658014UXROYLHM17')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1658014UXROYLHM17')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1658014UXROYLHM17,1658014UXROYALE_HM17,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1856514ULTSPRGC01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1856514ULTSPRGC01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1856514ULTSPRGC01,185 / 65 R 14 ULTIMA SPORT _ GC01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1856514ULTSPRGC02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1856514ULTSPRGC02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1856514ULTSPRGC02,185 / 65 R 14 ULTIMA SPORT _ GC02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1856514ULTSPRGC03')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1856514ULTSPRGC03')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1856514ULTSPRGC03,185 / 65 R 14 ULTIMA SPORT _ GC03,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1856514ULTSPRGC04')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B1856514ULTSPRGC04')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B1856514ULTSPRGC04,185 / 65 R 14 ULTIMA SPORT _ GC04,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B20565R16UXRLHMI01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B20565R16UXRLHMI01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B20565R16UXRLHMI01,205/65R16 UX ROYALE _ HMI01,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B20565R16UXRLHMI02')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('B20565R16UXRLHMI02')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",B20565R16UXRLHMI02,205/65R16 UX ROYALE _ HMI02,1900,Chennai Tyre Plant,,,,ACTIVE,,
"{'id': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C00009R20JURTTHM01')"", 'uri': ""https://s4api.sap.jktyre.in:44305/sap/opu/odata/sap/ZINFI_PLT_API_SRV/InfiMouldMstSet('C00009R20JURTTHM01')"", 'type': 'ZINFI_PLT_API_SRV.InfiMouldMst'}",C00009R20JURTTHM01,9.00 R 20 JW JUR_TT_HM01,1900,Chennai Tyre Plant,,,,ACTIVE,,
