Plant_Code,Mold_Name,Item_Code,Full_Load
1900,C10R20JSJDE16HM130,1121129A20000JDEP0,
1900,C10R20JSJDE16HM131,1121129A20000JDEP0,
1900,C10R20JSJDE16HM132,1121129A20000JDEP0,
1900,C10R20JSJDE16HM133,1121129A20000JDEP0,
1900,C10R20JSJDE16HM134,1121129A20000JDEP0,
1900,C10R20JSJDE16HM135,1121129A20000JDEP0,
1900,C10R20JSJDE16HM24,1121129A20000JDEP0,
1900,C10R20JSJDE16HM26,1121129A20000JDEP0,
1900,C10R20JSJDE16HM28,1121129A20000JDEP0,
1900,C10R20JSJDE16HM30,1121129A20000JDEP0,
1900,C10R20JSJDE16HM31,1121129A20000JDEP0,
1900,C10R20JSJDE16HM33,1121129A20000JDEP0,
1900,C10R20JSJDE16HM35,1121129A20000JDEP0,
1900,C10R20JSJDE16HM37,1121129A20000JDEP0,
1900,C10R20JSJDE16HM42,1121129A20000JDEP0,
1900,C10R20JSJDE16HM44,1121129A20000JDEP0,
1900,R0000010R20JDEGR11,1121129A20000JDEP0,
1900,R0000010R20JDEGR19,1121129A20000JDEP0,
1900,R0000010R20JDEGR22,1121129A20000JDEP0,
1900,R0000010R20JDEGR23,1121129A20000JDEP0,
1900,R0000010R20JDEHM08,1121129A20000JDEP0,
1900,R0000010R20JDEHM19,1121129A20000JDEP0,
1900,R0000010R20JDEHM74,1121129A20000JDEP0,
1900,C10R20JSJDE16HM131,1121129A20000JDEPM,
1900,C10R20JSJDE16HM33,1121129A20000JDEPM,
1900,R29590R20JS124GC01,1121129A20152J1241,
1900,R29590R20JS124GC02,1121129A20152J1241,
1900,C10R20JSJDCXDHM11,1121129A20152JCXD0,
1900,C10R20JSJDCXDHM12,1121129A20152JCXD0,
1900,C10R20JSJDCXDHM13,1121129A20152JCXD0,
1900,C10R20JSJDCXDHM14,1121129A20152JCXD0,
1900,C10R20JSJDCXDHM15,1121129A20152JCXD0,
1900,C10R20JSJDCXDHM16,1121129A20152JCXD0,
1900,C10R20JS12116HM01,1121129A20152JDLF0,
1900,C10R20JS12116HM02,1121129A20152JDLF0,
1900,C10R20JSJDEXFGC01,1121129A20152JDLF0,
1900,C10R20JSJDEXFGC03,1121129A20152JDLF0,
1900,C10R20JSJDEXFGC04,1121129A20152JDLF0,
1900,C10R20JSJDEXFGC05,1121129A20152JDLF0,
1900,C10R20JSJDEXFGC06,1121129A20152JDLF0,
1900,C10R20JSJDEXFGC08,1121129A20152JDLF0,
1900,C10R20JSJDEXFGC09,1121129A20152JDLF0,
1900,C10R20JSJDEXFGC10,1121129A20152JDLF0,
1900,C10R20JSJDEXFHM01,1121129A20152JDLF0,
1900,R29590R20JS124GC01,1121129A20152JLM20,
1900,R29590R20JS124GC02,1121129A20152JLM20,
1900,R000825R20JDH3GC03,1121182020014KDH30,
1900,R000825R20JDH3GC04,1121182020014KDH30,
1900,C0825R20JDE000GC11,1121182020016KDEP0,
1900,C0825R20JDE000GC12,1121182020016KDEP0,
1900,C0825R20JDE000GC13,1121182020016KDEP0,
1900,C0825R20JDE000GC14,1121182020016KDEP0,
1900,R0000825R20JDEGC01,1121182020016KDEP0,
1900,R0000825R20JDEGC02,1121182020016KDEP0,
1900,R0000825R20JDEGC04,1121182020016KDEP0,
1900,R0000825R20JDEGC06,1121182020016KDEP0,
1900,R0000825R20JDEGC07,1121182020016KDEP0,
1900,R0000825R20JDEGC10,1121182020016KDEP0,
1900,R000825R20JDH3GC01,1121182020016KDH30,
1900,R000825R20JDH3GC02,1121182020016KDH30,
1900,R000825R20JDH3GR01,1121182020016KDH30,
1900,R000825R20JDH3GR02,1121182020016KDH30,
1900,R000825R20JDH3HM01,1121182020016KDH30,
1900,R000825R20JDH3HM02,1121182020016KDH30,
1900,R000825R20JDH3MC01,1121182020016KDH30,
1900,R000825R20JDH3MC02,1121182020016KDH30,
1900,C27590R20JS121GC01,1121190020016KDEF0,
1900,C27590R20JS121GC02,1121190020016KDEF0,
1900,C009R20JSJDE16GC05,1121190020016KDEP0,
1900,C009R20JSJDE16GC06,1121190020016KDEP0,
1900,C009R20JSJDE16GC07,1121190020016KDEP0,
1900,C009R20JSJDE16GC08,1121190020016KDEP0,
1900,C009R20JSJDE16GC09,1121190020016KDEP0,
1900,C009R20JSJDE16GC10,1121190020016KDEP0,
1900,C009R20JSJDE16GC11,1121190020016KDEP0,
1900,C9R20JSJDE16GC02,1121190020016KDEP0,
1900,C9R20JSJDE16TTGC01,1121190020016KDEP0,
1900,C9R20JSJDE16TTGC03,1121190020016KDEP0,
1900,C9R20JSJDE16TTGC04,1121190020016KDEP0,
1900,C9R20JSJDH16GC01,1121190020016KJDH0,
1900,C9R20JSJDH16GC02,1121190020016KJDH0,
1900,C9R20JSJDH16GC03,1121190020016KJDH0,
1900,C9R20JSJDH16GC04,1121190020016KJDH0,
1900,C9R20JSJDH16GC05,1121190020016KJDH0,
1900,C9R20JSJDH16GC06,1121190020016KJDH0,
1900,C9R20JSJDH16GC07,1121190020016KJDH0,
1900,C9R20JSJDH16GC08,1121190020016KJDH0,
1900,C9R20JSJDH16HM01,1121190020016KJDH0,
1900,C9R20JSJDH16HM02,1121190020016KJDH0,
1900,C9R20JSJDH16HM03,1121190020016KJDH0,
1900,C9R20JSJDH16HM04,1121190020016KJDH0,
1900,C11R225JSJDHCGC01,112121102C016LJDH0,
1900,C11R225JSJDHCGC02,112121102C016LJDH0,
1900,C11R225JSJDHGC01,112121102C016LJDH0,
1900,C11R225JSJDHGC02,112121102C016LJDH0,
1900,R0000011R225JDHH01,112121102C016LJDH0,
1900,C25580R225119HM01,112122582C000JJDL0,
1900,C29580R225JDLXMGC2,112122982C016M1191,
1900,C29580R225JSJDLXM,112122982C016M1191,
1900,C29580R225JDLHM04,112122982C016MJDL0,
1900,C29580R225JDLHM05,112122982C016MJDL0,
1900,C29580R225JDLHM06,112122982C016MJDL0,
1900,C29580R225JDLHM07,112122982C016MJDL0,
1900,C29580R225JDLHM08,112122982C016MJDL0,
1900,C29580R225JDLHM09,112122982C016MJDL0,
1900,C29580R225JDLHM10,112122982C016MJDL0,
1900,C29580R225JDLHM11,112122982C016MJDL0,
1900,C29580R225JDLHM12,112122982C016MJDL0,
1900,C29580R225JDLHM13,112122982C016MJDL0,
1900,C29580R225JDLHM14,112122982C016MJDL0,
1900,C29580R225JDLHM15,112122982C016MJDL0,
1900,R029580R225JDLGC01,112122982C016MJDL0,
1900,R029580R225JDLGC03,112122982C016MJDL0,
1900,R029580R225JDLHM01,112122982C016MJDL0,
1900,R029580R225JDLHM03,112122982C016MJDL0,
1900,C29580R225J119GR01,112122982C016MJXM0,
1900,C29580R225J119GR02,112122982C016MJXM0,
1900,C33580R20JWJUZHM01,1121233820012KUZP0,
1900,C33580R20JWJUZHM02,1121233820012KUZP0,
1900,C10R20CHACUC16HM07,1122110020016KH3P0,
1900,C10R20JUH3GR39,1122110020016KH3P0,
1900,C10R20JUH3GR40,1122110020016KH3P0,
1900,C10R20JWJUC316GC10,1122110020016KH3P0,
1900,C10R20JWJUH316GC02,1122110020016KH3P0,
1900,C10R20JWJUH316GC04,1122110020016KH3P0,
1900,C10R20JWJUH316GC05,1122110020016KH3P0,
1900,C10R20JWJUH316GC06,1122110020016KH3P0,
1900,C10R20JWJUH316GC07,1122110020016KH3P0,
1900,C10R20JWJUH316GC09,1122110020016KH3P0,
1900,C10R20JWJUH316GC10,1122110020016KH3P0,
1900,C10R20JWJUH316GC12,1122110020016KH3P0,
1900,C10R20JWJUH316GC13,1122110020016KH3P0,
1900,C10R20JWJUH316GC14,1122110020016KH3P0,
1900,C10R20JWJUH316GR05,1122110020016KH3P0,
1900,C10R20JWJUH316GR06,1122110020016KH3P0,
1900,C10R20JWJUH316GR07,1122110020016KH3P0,
1900,C10R20JWJUH316GR08,1122110020016KH3P0,
1900,C10R20JWJUH316GR09,1122110020016KH3P0,
1900,C10R20JWJUH316GR10,1122110020016KH3P0,
1900,C10R20JWJUH316HM03,1122110020016KH3P0,
1900,C10R20JWJUH316HM04,1122110020016KH3P0,
1900,C10R20JWJUH316HM05,1122110020016KH3P0,
1900,C10R20JWJUH316HM06,1122110020016KH3P0,
1900,C10R20JWJUH316HM07,1122110020016KH3P0,
1900,C10R20JWJUH316HM08,1122110020016KH3P0,
1900,C10R20JWJUH316HM09,1122110020016KH3P0,
1900,C10R20JWJUH316HM10,1122110020016KH3P0,
1900,C10R20JWJUH316HM11,1122110020016KH3P0,
1900,C10R20JWJUH316HM12,1122110020016KH3P0,
1900,C10R20JWJUH316HM13,1122110020016KH3P0,
1900,C10R20JWJUH316HM14,1122110020016KH3P0,
1900,C10R20JWJUH316HM15,1122110020016KH3P0,
1900,C10R20JWJUH316HM16,1122110020016KH3P0,
1900,C10R20JWJUH316HM17,1122110020016KH3P0,
1900,C10R20JWJUH316HM18,1122110020016KH3P0,
1900,C10R20JWJUH316HM19,1122110020016KH3P0,
1900,C10R20JWJUH316HM20,1122110020016KH3P0,
1900,C10R20JWJUH316HM21,1122110020016KH3P0,
1900,C10R20JWJUH316HM22,1122110020016KH3P0,
1900,C10R20JWJUH316HM23,1122110020016KH3P0,
1900,C10R20JWJUH316HM24,1122110020016KH3P0,
1900,C10R20JWJUH316HM25,1122110020016KH3P0,
1900,C10R20JWJUH316HM26,1122110020016KH3P0,
1900,C10R20JWJUH316HM27,1122110020016KH3P0,
1900,C10R20JWJUH316HM28,1122110020016KH3P0,
1900,C10R20JWJUH316GC01,1122110020016KH3PT,
